Words,Source,context
advanced in life,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
advanced in years,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
aged,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
ancestral,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
anicular,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
anile,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
annotinous,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
annuated,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
antiquated,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
ayne,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
declining,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
decrepit,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
doited,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
effete,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
eigne,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
elder,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
eldest,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
epigonous,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
extreme old,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
firstborn,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
firstling,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
gerocomical,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
good old,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
gray,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
gray-headed,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
having one foot in the grave,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
hoar,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
hoary,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
in years,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
insenescible,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
juvenescent,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
marked with a crow’s foot,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
marriageable,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
matronly,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
mature,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
maturate,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
mellow,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
middle-aged,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
no chicken,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
of a certain age,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
old,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
old as Methuselah,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
older,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
oldest,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
past one’s prime,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
patriarchal,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
quadragenarious,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
reproductive,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
ripe,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
run to seed,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
senescent,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
senile,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
senior,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
Silurian,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
stricken in years,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
superannuated,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
timeworn,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
turned of,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
underage,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
venerable,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
warning,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
wrinkled,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
years old,https://descriptivewords.org/descriptive-words-for-age-and-aging/,elders
young,https://www.merriam-webster.com/thesaurus/adolescent,youth
juvenile,https://www.merriam-webster.com/thesaurus/adolescent,youth
youthful,https://www.merriam-webster.com/thesaurus/adolescent,youth
teenage,https://www.merriam-webster.com/thesaurus/adolescent,youth
immature,https://www.merriam-webster.com/thesaurus/adolescent,youth
teenaged,https://www.merriam-webster.com/thesaurus/adolescent,youth
youngish,https://www.merriam-webster.com/thesaurus/adolescent,youth
inexperienced,https://www.merriam-webster.com/thesaurus/adolescent,youth
preteen,https://www.merriam-webster.com/thesaurus/adolescent,youth
infantile,https://www.merriam-webster.com/thesaurus/adolescent,youth
embryonic,https://www.merriam-webster.com/thesaurus/adolescent,youth
subadult,https://www.merriam-webster.com/thesaurus/adolescent,youth
emergent,https://www.merriam-webster.com/thesaurus/adolescent,youth
minor,https://www.merriam-webster.com/thesaurus/adolescent,youth
burgeoning,https://www.merriam-webster.com/thesaurus/adolescent,youth
flowering,https://www.merriam-webster.com/thesaurus/adolescent,youth
childlike,https://www.merriam-webster.com/thesaurus/adolescent,youth
childish,https://www.merriam-webster.com/thesaurus/adolescent,youth
callow,https://www.merriam-webster.com/thesaurus/adolescent,youth
puerile,https://www.merriam-webster.com/thesaurus/adolescent,youth
babyish,https://www.merriam-webster.com/thesaurus/adolescent,youth
ephebic,https://www.merriam-webster.com/thesaurus/adolescent,youth
green,https://www.merriam-webster.com/thesaurus/adolescent,youth
undeveloped,https://www.merriam-webster.com/thesaurus/adolescent,youth
unfinished,https://www.merriam-webster.com/thesaurus/adolescent,youth
unformed,https://www.merriam-webster.com/thesaurus/adolescent,youth
infantine,https://www.merriam-webster.com/thesaurus/adolescent,youth
unripe,https://www.merriam-webster.com/thesaurus/adolescent,youth
flourishing,https://www.merriam-webster.com/thesaurus/adolescent,youth
unfledged,https://www.merriam-webster.com/thesaurus/adolescent,youth
raw,https://www.merriam-webster.com/thesaurus/adolescent,youth
blooming,https://www.merriam-webster.com/thesaurus/adolescent,youth
unripened,https://www.merriam-webster.com/thesaurus/adolescent,youth
blossoming,https://www.merriam-webster.com/thesaurus/adolescent,youth
kiddish,https://www.merriam-webster.com/thesaurus/adolescent,youth
adult,https://www.merriam-webster.com/thesaurus/adolescent,elders
elderly,https://www.merriam-webster.com/thesaurus/adolescent,elders
geriatric,https://www.merriam-webster.com/thesaurus/adolescent,elders
matured,https://www.merriam-webster.com/thesaurus/adolescent,elders
ancient,https://www.merriam-webster.com/thesaurus/adolescent,elders
aging,https://www.merriam-webster.com/thesaurus/adolescent,elders
grown-up,https://www.merriam-webster.com/thesaurus/adolescent,elders
oldish,https://www.merriam-webster.com/thesaurus/adolescent,elders
long-lived,https://www.merriam-webster.com/thesaurus/adolescent,elders
full-blown,https://www.merriam-webster.com/thesaurus/adolescent,elders
full-fledged,https://www.merriam-webster.com/thesaurus/adolescent,elders
ageing,https://www.merriam-webster.com/thesaurus/adolescent,elders
golden,https://www.merriam-webster.com/thesaurus/adolescent,elders
ripened,https://www.merriam-webster.com/thesaurus/adolescent,elders
over-the-hill,https://www.merriam-webster.com/thesaurus/adolescent,elders
doddering,https://www.merriam-webster.com/thesaurus/adolescent,elders
spavined,https://www.merriam-webster.com/thesaurus/adolescent,elders
tottery,https://www.merriam-webster.com/thesaurus/adolescent,elders
junior,,youth
retired,,elders
senior,,elders
toddler,,youth
baby,,youth
5-year-old,,numeric age
10-year-old,,numeric age
15-year-old,,numeric age
20-year-old,,numeric age
25-year-old,,numeric age
30-year-old,,numeric age
35-year-old,,numeric age
40-year-old,,numeric age
45-year-old,,numeric age
50-year-old,,numeric age
55-year-old,,numeric age
60-year-old,,numeric age
65-year-old,,numeric age
70-year-old,,numeric age
75-year-old,,numeric age
80-year-old,,numeric age
85-year-old,,numeric age
90-year-old,,numeric age
95-year-old,,numeric age
100-year-old,,numeric age