Words,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Categories
Afghanistan,2019,2.375091791,7.697247982,0.419972867,52.40000153,0.393656164,-0.108458869,0.923849106,0.351387054,0.502473712,Asia
Albania,2020,5.364909649,9.497251511,0.710115016,69.30000305,0.75367105,0.006968025,0.891358972,0.678661227,0.265066117,Europe
Algeria,2019,4.744627476,9.336946487,0.803258657,66.09999847,0.385083437,0.00508652,0.740609348,0.584944308,0.215197757,Africa
Andorra,,,,,,,,,,,Europe
Angola,2014,3.794837952,9.016735077,0.754615486,54.59999847,0.374541551,-0.167722687,0.83407563,0.578517139,0.367864132,Africa
Antigua and Barbuda,,,,,,,,,,,North America
Argentina,2020,5.900567055,9.850449562,0.897103846,69.19999695,0.823391616,-0.122354329,0.815780461,0.763523877,0.342496932,South America
Armenia,2019,5.4880867,9.521769524,0.781603873,67.19999695,0.844324112,-0.172368988,0.583472729,0.598237813,0.430463403,Europe
Australia,2020,7.137367725,10.75986385,0.936517,74.19999695,0.905282974,0.210030302,0.491094828,0.769181728,0.205077678,Oceania
Austria,2020,7.213489056,10.85111809,0.924831212,73.59999847,0.911909878,0.011031743,0.463830173,0.769316614,0.206499651,Europe
Azerbaijan,2019,5.173389435,9.575250626,0.88675642,65.80000305,0.854248524,-0.214162916,0.457260668,0.642546833,0.163920254,Europe
Bahamas,,,,,,,,,,,North America
Bahrain,2020,6.173175812,10.61990356,0.847745061,69.69999695,0.94523257,0.132441044,,0.789794981,0.296835452,Asia
Bangladesh,2020,5.279986858,8.472194672,0.739337921,65.30000305,0.777467191,-0.008851291,0.741659164,0.582380831,0.331708789,Asia
Barbados,,,,,,,,,,,North America
Belarus,2019,5.821453094,9.860038757,0.916740477,66.40000153,0.656933606,-0.185933307,0.545904756,0.590850592,0.189821407,Europe
Belgium,2020,6.838760853,10.77053738,0.903558671,72.40000153,0.766917825,-0.163784489,0.633626759,0.646510303,0.260188788,Europe
Belize,2014,5.955646515,8.883127213,0.756932497,62.22000122,0.873569071,0.021995628,0.782105386,0.754977345,0.281604409,North America
Benin,2020,4.407745838,8.102292061,0.506636083,55.09999847,0.783114672,-0.08348871,0.531883657,0.608584642,0.304512441,Africa
Bhutan,2015,5.082128525,9.218923569,0.847574413,60.20000076,0.83010155,0.277412355,0.633955777,0.80964148,0.311589301,Asia
Bolivia,2020,5.559258938,8.997989655,0.804810882,64.19999695,0.877031922,-0.053763788,0.868208289,0.789818466,0.381791174,South America
Bosnia and Herzegovina,2020,5.515816212,9.58334446,0.898518682,68.40000153,0.740250826,0.137954175,0.916052163,0.644237339,0.325412303,Europe
Botswana,2019,3.471084833,9.785069466,0.773667216,59.59999847,0.832542658,-0.239000931,0.792079508,0.711796343,0.272721767,Africa
Brazil,2020,6.109717846,9.522140503,0.830832124,66.80000305,0.786235094,-0.052820019,0.728772223,0.692023873,0.38913855,South America
Brunei,,,,,,,,,,,Asia
Bulgaria,2020,5.597723007,9.990657806,0.916242361,67.19999695,0.818224788,-0.004322314,0.900632977,0.705834627,0.221351057,Europe
Burkina Faso,2019,4.740892887,7.691488266,0.683102369,54.40000153,0.677546859,-0.004089894,0.729396582,0.690925896,0.364775389,Africa
Burundi,2018,3.775283098,6.635322094,0.484715223,53.40000153,0.646398604,-0.023876166,0.598607659,0.6664415,0.362766594,Africa
Cambodia,2020,4.376985073,8.361935616,0.724422634,62.40000153,0.963075459,0.052429765,0.863053977,0.877953529,0.38985163,Asia
Cameroon,2020,5.2410779,8.17463398,0.720046639,54.29999924,0.674509168,0.049266182,0.836517215,0.629614651,0.386478961,Africa
Canada,2020,7.024904728,10.72951412,0.930610716,74,0.8868922,0.049636856,0.434012353,0.795948744,0.306673735,North America
Central African Republic,2017,3.475862026,6.81651926,0.319589138,45.20000076,0.645252347,0.0727861,0.889566004,0.613865197,0.599335492,Africa
Chad,2019,4.250799179,7.364943981,0.640452087,48.70000076,0.537245691,0.055000938,0.832283497,0.587211192,0.460061282,Africa
Chile,2020,6.150642872,10.0201416,0.888412297,70.09999847,0.781383574,0.032990757,0.811818838,0.814602733,0.336028606,South America
China,2020,5.771064758,9.70175457,0.80833447,69.90000153,0.891122997,-0.103214338,,0.789345384,0.244918227,Asia
Colombia,2020,5.70917511,9.495491028,0.797035217,68.30000305,0.840186119,-0.084642209,0.807964027,0.795132697,0.340158582,South America
Comoros,2019,4.608616352,8.03313446,0.632012963,57.5,0.538261533,0.077253081,0.762232482,0.736221731,0.336162895,Africa
Congo (Brazzaville),2019,5.212622643,8.101092339,0.624768078,58.5,0.686451972,-0.046051238,0.74058944,0.645253956,0.40504083,Africa
Congo (Kinshasa),2017,4.311033249,6.965845585,0.669688404,52.90000153,0.704239547,0.068378173,0.809181869,0.550525904,0.404262066,Africa
Costa Rica,2019,6.997618675,9.885446548,0.906077445,71.5,0.926830113,-0.145994335,0.835628331,0.848347604,0.303327233,North America
Croatia,2020,6.507992268,10.16581726,0.922913492,71.40000153,0.836657643,-0.062968105,0.960939288,0.742780507,0.285609752,Europe
Cuba,2006,5.417868614,,0.969595134,68.44000244,0.281457931,,,0.646711767,0.276601523,North America
Cyprus,2020,6.259810448,,0.805559397,74.09999847,0.762782335,,0.816231728,0.758863032,0.283522457,Europe
North Cyprus,2019,5.4666152,,0.803294539,,0.792734623,,0.640058875,0.493692875,0.296411127,Asia
Czech Republic,2020,6.897091389,10.5301342,0.96405369,71.30000305,0.906422019,-0.127022371,0.883699596,0.832057655,0.290441692,Europe
Denmark,2020,7.514631271,10.90999508,0.947371364,73,0.937931836,0.052293025,0.213841751,0.81766367,0.227101892,Europe
Djibouti,2011,4.369193554,7.880099297,0.632973254,54.70000076,0.746439457,-0.057318915,0.518930137,0.579302847,0.180592626,Africa
Dominican Republic,2020,5.168409824,9.802446365,0.806117654,66.40000153,0.834642947,-0.127834037,0.636116564,0.73386693,0.313928306,North America
East Timor,,,,,,,,,,,Asia
Ecuador,2020,5.35446167,9.243865013,0.804008543,69.09999847,0.828511536,-0.157090038,0.854780495,0.789940715,0.416027963,South America
Egypt,2020,4.472396851,9.382726669,0.672725499,62.29999924,0.769550323,-0.112341978,,0.598908663,0.442033589,Africa
El Salvador,2020,5.461926937,9.018845558,0.695624352,66.69999695,0.923944831,-0.1264745,0.583036363,0.838904202,0.329439789,North America
Equatorial Guinea,,,,,,,,,,,Africa
Eritrea,,,,,,,,,,,Africa
Estonia,2020,6.452563763,10.4585886,0.957770467,69,0.954200566,-0.082279153,0.397834778,0.806923807,0.187679499,Europe
Ethiopia,2020,4.549219608,7.7109828,0.823137581,59.5,0.768694282,0.188496858,0.783822417,0.669388652,0.251514345,Africa
Fiji,,,,,,,,,,,Oceania
Finland,2020,7.889349937,10.75044632,0.961620748,72.09999847,0.962423682,-0.115531988,0.163635895,0.7442922,0.192897573,Europe
France,2020,6.714111805,10.64328003,0.947354019,74.19999695,0.823386312,-0.168960527,0.564640582,0.731813908,0.23095043,Europe
Gabon,2019,4.914393425,9.607087135,0.763051689,60.20000076,0.736349881,-0.202519819,0.84625423,0.692702413,0.412960976,Africa
Gambia,2019,5.163627148,7.69934988,0.693870127,55.29999924,0.676595271,0.410180479,0.798108101,0.772816181,0.400723279,Africa
Georgia,2020,5.123143196,9.569304466,0.71834594,64.09999847,0.764352381,-0.221125469,0.582734704,0.610894918,0.294512063,Europe
Germany,2020,7.311897755,10.83349895,0.905080497,72.80000305,0.864356041,-0.06004804,0.424088776,0.759594321,0.205927119,Europe
Ghana,2020,5.31948328,8.589605331,0.642703354,58,0.823720038,0.199632064,0.847024918,0.712765932,0.252728432,Africa
Greece,2020,5.787615776,10.21457958,0.778536558,72.80000305,0.56461364,-0.24080646,0.764324546,0.684457839,0.321684211,Europe
Grenada,,,,,,,,,,,North America
Guatemala,2019,6.262175083,9.063875198,0.774074376,65.09999847,0.90067631,-0.062302988,0.772577941,0.85941267,0.310789257,North America
Guinea,2019,4.76768446,7.849340439,0.655124187,55.5,0.691399097,0.09681724,0.755585492,0.684646904,0.473388433,Africa
Guyana,2007,5.992826462,8.773288727,0.848765194,57.25999832,0.694005668,0.110037036,0.835569084,0.767540574,0.29641977,South America
Haiti,2018,3.614928007,7.477138042,0.537975907,55.70000076,0.591468394,0.421520352,0.720444739,0.5841133,0.358720034,North America
Honduras,2019,5.930051327,8.65311718,0.797148347,67.40000153,0.846190035,0.062708922,0.814962924,0.849954963,0.278882086,North America
Hong Kong,2020,5.295341492,,0.812942982,,0.705452263,,0.380351216,0.608647346,0.210313618,Asia
Hungary,2020,6.038049698,10.33514786,0.943400383,68.40000153,0.77096808,-0.120404616,0.836105108,0.735238373,0.24005194,Europe
Iceland,2020,7.575489521,10.82420063,0.983286083,73,0.948627174,0.160273999,0.64406389,0.863017619,0.171795145,Europe
India,2020,4.225281239,8.702772141,0.616639256,60.90000153,0.906391323,0.074823797,0.780124009,0.752433956,0.383162528,Asia
Indonesia,2019,5.346512794,9.376888275,0.80191803,62.29999924,0.865859151,0.555348039,0.860784769,0.876714051,0.301702797,Asia
Iran,2020,4.864528179,,0.757218659,66.59999847,0.599594474,,0.70990169,0.582420528,0.470245004,Asia
Iraq,2020,4.78516531,9.167185783,0.707847476,61.40000153,0.700214565,-0.020748287,0.849108756,0.644464254,0.531538904,Asia
Ireland,2020,7.034930706,11.3228035,0.960311055,72.5,0.882098258,0.013816552,0.355632722,0.796661019,0.246447265,Europe
Israel,2020,7.194928169,10.53805351,0.959072173,73.69999695,0.831315815,-0.049371675,0.74763906,0.62139833,0.242825732,Asia
Italy,2020,6.488356113,10.56257153,0.889824033,74,0.718155444,-0.149937257,0.844094574,0.670213342,0.311002165,Europe
Ivory Coast,2020,5.256503582,8.564923286,0.61310631,50.70000076,0.769998014,0.015563689,0.776687264,0.692646921,0.33991909,Africa
Jamaica,2019,6.309238911,9.186201096,0.877814472,67.5,0.890670836,-0.136797056,0.885330021,0.752041101,0.195284143,North America
Japan,2020,6.117963314,10.57954788,0.887249112,75.19999695,0.806036115,-0.258745283,0.608698547,0.74246943,0.186461002,Asia
Jordan,2020,4.093991756,9.14999485,0.708839893,67.19999695,0.778533459,-0.149825886,,,,Asia
Kazakhstan,2020,6.168269157,10.13533592,0.966448963,65.80000305,0.872100115,-0.056175169,0.660798848,0.684102654,0.150359914,Asia
Kenya,2020,4.546584129,8.365282059,0.673717618,61.29999924,0.702034473,0.259969592,0.836516023,0.733434856,0.296980411,Africa
Kiribati,,,,,,,,,,,Oceania
Kosovo,2020,6.294414043,,0.792374492,,0.879837573,,0.90989387,0.72623986,0.201458037,Europe
Kuwait,2019,6.106119633,10.81669617,0.841519773,66.90000153,0.867273808,-0.104161076,,0.695362747,0.302876323,Asia
Kyrgyzstan,2020,6.249586105,8.503411293,0.902222991,64.69999695,0.934885323,0.102865741,0.931317508,0.803025365,0.257813066,Asia
Laos,2020,5.284390926,8.959955215,0.660396278,59.5,0.915028214,0.141430691,0.747997701,0.821680248,0.358349264,Asia
Latvia,2020,6.229008675,10.29959011,0.928012192,67.40000153,0.820111692,-0.077660471,0.808821976,0.713628411,0.201582372,Europe
Lebanon,2019,4.024219513,9.596782684,0.865968525,67.59999847,0.447001487,-0.081082396,0.890415609,0.321689755,0.494499028,Asia
Lesotho,2019,3.5117805,7.925776958,0.789705396,48.70000076,0.716313541,-0.130536228,0.914951444,0.734879911,0.273425519,Africa
Liberia,2019,5.121460915,7.263903618,0.71247375,56.90000153,0.705874562,0.050611626,0.828468978,0.635608971,0.389132589,Africa
Libya,2019,5.33022213,9.627349854,0.826719344,62.29999924,0.761964321,-0.072672851,0.68641299,0.70874089,0.400737435,Africa
Liechtenstein,,,,,,,,,,,Europe
Lithuania,2020,6.39137888,10.5036068,0.952544093,68.5,0.824060559,-0.121781312,0.829204798,0.660229564,0.201912001,Europe
Luxembourg,2019,7.404015541,11.64816856,0.912104547,72.59999847,0.930321217,-0.045057613,0.389598429,0.789186358,0.211639807,Europe
Macedonia,,,,,,,,,,,Europe
Madagascar,2019,4.339087486,7.406237125,0.700610101,59.5,0.549535215,-0.012468655,0.719982684,0.723194659,0.303959668,Africa
Malawi,2019,3.869123697,6.965763092,0.548956096,58.29999924,0.764864206,0.003596819,0.680247962,0.53669703,0.348162442,Africa
Malaysia,2019,5.427954197,10.25240326,0.842498839,67.19999695,0.915778697,0.123324133,0.781943917,0.834177494,0.176071689,Asia
Maldives,2018,5.197574615,9.825985909,0.913315058,70.59999847,0.854759276,0.023997834,,,,Asia
Mali,2019,4.98799181,7.752494812,0.754558086,52.20000076,0.67040509,-0.037851758,0.846340001,0.711522698,0.357764512,Africa
Malta,2020,6.156822681,,0.937920272,72.19999695,0.930600464,,0.67462635,0.601495862,0.410913229,Europe
Marshall Islands,,,,,,,,,,,Oceania
Mauritania,2019,4.152619362,8.5558424,0.798101962,57.29999924,0.627505183,-0.101856656,0.742890298,0.69183147,0.259738505,Africa
Mauritius,2020,6.015300274,9.972017288,0.892565966,67,0.842598081,-0.03669272,0.771790087,0.766984463,0.138401791,Africa
Mexico,2020,5.964221001,9.782189369,0.778816223,68.90000153,0.873346984,-0.119389862,0.778165877,0.810109138,0.29155612,North America
Micronesia,,,,,,,,,,,Oceania
Moldova,2020,5.811628819,9.462109566,0.874061763,66.40000153,0.859083235,-0.058278579,0.941438973,0.727224529,0.267836064,Europe
Monaco,,,,,,,,,,,Europe
Mongolia,2020,6.011364937,9.395559311,0.917789161,62.70000076,0.718491018,0.141357452,0.842827678,0.636443496,0.259983033,Asia
Montenegro,2020,5.722162724,9.912668228,0.887129486,68.90000153,0.801855087,0.059815772,0.844687104,0.60328269,0.411377817,Europe
Morocco,2020,4.80261755,8.87091732,0.552520096,66.5,0.818995237,-0.228577554,0.802740276,0.587182403,0.256431192,Africa
Mozambique,2019,4.932132721,7.154966831,0.742303729,55.20000076,0.869810224,0.072745018,0.681900442,0.58727473,0.384122759,Africa
Myanmar,2020,4.431364059,8.55391407,0.795763254,59.59999847,0.824870706,0.470258176,0.646702111,0.799749196,0.289218217,Asia
Namibia,2020,4.451010227,9.104139328,0.740570307,57.09999847,0.665681958,-0.103880182,0.810354829,0.647919536,0.247542083,Africa
Nauru,,,,,,,,,,,Oceania
Nepal,2019,5.448724747,8.136457443,0.772273064,64.59999847,0.790347695,0.166975796,0.711842477,0.535798132,0.357100308,Asia
Netherlands,2020,7.504447937,10.9005003,0.943956137,72.5,0.934522629,0.151298046,0.280604511,0.783990622,0.246511325,Europe
New Zealand,2020,7.257381916,10.60045719,0.951990783,73.59999847,0.918154597,0.125259653,0.282767951,0.849415004,0.208541051,Oceania
Nicaragua,2019,6.112545013,8.595469475,0.873863935,67.80000305,0.882678449,0.029247265,0.62198174,0.83542347,0.337012976,North America
Niger,2019,5.003544331,7.105849266,0.67695874,54,0.83136189,0.02595989,0.728855133,0.815915167,0.304438263,Africa
Nigeria,2020,5.502948284,8.484203339,0.739289463,50.5,0.713061512,0.099404059,0.912774444,0.743977726,0.315886825,Africa
North Korea,,,,,,,,,,,Asia
North Macedonia,2020,5.053664207,9.690014839,0.750374198,65.55988312,0.787284732,0.131274343,0.877421141,0.604626834,0.365126073,Europe
Norway,2020,7.290032387,11.04216003,0.955979943,73.40000153,0.964561105,0.075148538,0.271083295,0.823093832,0.216033921,Europe
Oman,2011,6.852982044,10.38246155,,65.5,0.916293025,0.024908492,,,0.295164108,Asia
Pakistan,2019,4.442717552,8.453290939,0.617295742,58.90000153,0.684675574,0.123729475,0.775998056,0.581067383,0.424240083,Asia
Palau,,,,,,,,,,,Oceania
Palestinian Territories,2019,4.48253727,,0.832550049,,0.653488278,,0.829282761,0.62517643,0.3996723,Asia
Panama,2019,6.085955143,10.35643101,0.885721385,69.69999695,0.882961094,-0.198984995,0.868827522,0.877561629,0.243566602,North America
Papua New Guinea,,,,,,,,,,,Oceania
Paraguay,2019,5.652625561,9.448143959,0.892487168,65.90000153,0.876052618,0.028112838,0.881786108,0.85772413,0.275186718,South America
Peru,2019,5.999381542,9.460934639,0.809075952,68.40000153,0.814805925,-0.129735783,0.873601913,0.820448101,0.374985486,South America
Philippines,2020,5.079585075,9.061443329,0.781140387,62.09999847,0.932041705,-0.115542881,0.744283676,0.803562105,0.326889008,Asia
Poland,2020,6.139455318,10.37120342,0.95317173,70.09999847,0.767428696,-0.006559356,0.786873639,0.759842575,0.328937918,Europe
Portugal,2020,5.767792225,10.37082005,0.874990344,72.80000305,0.91313076,-0.238090202,0.867157161,0.647768855,0.382812679,Europe
Qatar,2015,6.374529362,11.48561478,,68.30000305,,,,,,Asia
Romania,2019,6.129942417,10.30591393,0.841905951,67.5,0.84754318,-0.221422106,0.954130709,0.697443366,0.243659228,Europe
Russia,2020,5.495288849,10.16223526,0.887020171,65.09999847,0.714466453,-0.070612296,0.823047519,0.645214975,0.189521536,Asia
Rwanda,2019,3.268152237,7.708060741,0.489458233,61.70000076,0.868999183,0.064065881,0.167970896,0.736067951,0.417667687,Africa
Saint Kitts and Nevis,,,,,,,,,,,North America
Saint Lucia,,,,,,,,,,,North America
Saint Vincent and the Grenadines,,,,,,,,,,,North America
Samoa,,,,,,,,,,,Oceania
San Marino,,,,,,,,,,,Europe
Sao Tome and Principe,,,,,,,,,,,Africa
Saudi Arabia,2020,6.559588432,10.70066261,0.890255928,66.90000153,0.884220123,-0.11053171,,0.753607631,0.251199067,Asia
Senegal,2019,5.488736629,8.130020142,0.687614083,60,0.758841753,-0.018803915,0.79567343,0.788973033,0.331925839,Africa
Serbia,2020,6.041546345,9.788259506,0.852101862,69,0.843479872,0.149401307,0.824472487,0.602846146,0.357580274,Europe
Seychelles,,,,,,,,,,,Africa
Sierra Leone,2019,3.447381496,7.449131966,0.610779762,52.40000153,0.717769563,0.074055701,0.873861432,0.513375223,0.438134462,Africa
Singapore,2019,6.378359795,11.48598003,0.924918354,77.09999847,0.938041747,0.027229678,0.069619603,0.722598016,0.138069153,Asia
Slovakia,2020,6.519098282,10.33151245,0.954159975,69.5,0.76189661,-0.074873514,0.900533676,0.763582885,0.274447888,Europe
Slovenia,2020,6.462076187,10.47786999,0.953437507,71.69999695,0.958442569,-0.08135689,0.796557486,0.609949231,0.313852519,Europe
Solomon Islands,,,,,,,,,,,Oceania
Somalia,2016,4.667941093,,0.594416559,50,0.917322814,,0.44080174,0.891423166,0.193282232,Africa
South Africa,2020,4.946800709,9.332463264,0.891050339,57.29999924,0.756946266,-0.014951312,0.912407219,0.820337772,0.294276476,Africa
South Korea,2020,5.792695522,10.64807415,0.807952285,74.19999695,0.711480439,-0.105867893,0.664694011,0.639555693,0.247059658,Asia
South Sudan,2017,2.816622496,,0.556822658,51,0.456011087,,0.761269629,0.585602164,0.517363787,Africa
Spain,2020,6.502175331,10.48805904,0.934934676,75,0.783256531,-0.120613314,0.729977489,0.686177611,0.316617101,Europe
Sri Lanka,2019,4.213299274,9.478693962,0.814939141,67.40000153,0.824277341,0.051186614,0.863342285,0.816390395,0.314542711,Asia
Sudan,2014,4.138672829,8.3170681,0.81061554,55.11999893,0.3900958,-0.063394643,0.793785036,0.540845037,0.302724987,Africa
Suriname,2012,6.269286633,9.797084808,0.797262073,62.24000168,0.885488451,-0.077173166,0.751282871,0.764222682,0.250364989,South America
Swaziland,2019,4.396114826,9.069709778,0.759097695,51.27039337,0.596682429,-0.190737918,0.723507762,0.777627289,0.279595166,Africa
Sweden,2020,7.314341068,10.83790398,0.93558234,72.80000305,0.951181591,0.09081845,0.203440145,0.766376078,0.22193329,Europe
Switzerland,2020,7.508435249,11.08089256,0.946316481,74.69999695,0.917343259,-0.063502058,0.280367136,0.768704712,0.19322899,Europe
Syria,2015,3.46191287,8.441536903,0.463912874,55.20000076,0.448270857,0.044834916,0.685236931,0.369439602,0.642588735,Asia
Taiwan,2020,6.751067638,,0.900832534,,0.798834741,,0.710567415,0.84539336,0.082736954,Asia
Tajikistan,2020,5.373398781,8.080356598,0.789744556,64.69999695,,-0.040467065,0.549786448,0.748897612,0.344161272,Asia
Tanzania,2020,3.785684109,7.881270409,0.739817083,58.5,0.830343485,0.295271993,0.520631671,0.685533106,0.271117926,Africa
Thailand,2020,5.884544373,9.76924324,0.866702616,67.59999847,0.840463281,0.273055583,0.918340027,0.783269882,0.326168567,Asia
Togo,2019,4.179493904,7.375211239,0.53870219,55.09999847,0.617419779,0.064774826,0.736675024,0.590229273,0.443869889,Africa
Tonga,,,,,,,,,,,Oceania
Trinidad and Tobago,2017,6.191859722,10.18292046,0.916029036,63.5,0.859140456,0.014855396,0.911336362,0.846467078,0.248098806,North America
Tunisia,2020,4.730811119,9.230624199,0.719013214,67.5,0.667758107,-0.201814234,0.877354085,0.584633887,0.438774347,Africa
Turkey,2020,4.861554146,10.21908379,0.856730223,67.59999847,0.510385871,-0.110888988,0.774417162,0.384292454,0.440387309,Asia
Turkmenistan,2019,5.474299908,9.651184082,0.981501758,62.59999847,0.891526878,0.284880638,,0.509914517,0.183343247,Asia
Tuvalu,,,,,,,,,,,Oceania
Uganda,2020,4.640909672,7.68445015,0.800461173,56.5,0.687482119,0.147117555,0.877587259,0.69894886,0.424706668,Africa
Ukraine,2020,5.269675732,9.427873611,0.884686291,65.19999695,0.784273446,0.126344204,0.945668995,0.687720656,0.284736186,Europe
United Arab Emirates,2020,6.458392143,11.05288982,0.826755583,67.5,0.9421615,0.060019661,,0.75165993,0.298480302,Asia
United Kingdom,2020,6.798177242,10.62581062,0.929353237,72.69999695,0.884624004,0.20250842,0.490203947,0.758163571,0.224655122,Europe
United States,2020,7.028088093,11.00065613,0.937369823,68.09999847,0.850447297,0.034103353,0.678124607,0.787371993,0.295499027,North America
Uruguay,2020,6.309681416,9.937191963,0.921070337,69.19999695,0.907761931,-0.083986901,0.491007835,0.807350934,0.264692068,South America
Uzbekistan,2019,6.154049397,8.853480339,0.915275931,65.40000153,0.970294535,0.304297596,0.511196852,0.844808519,0.219745517,Asia
Vanuatu,,,,,,,,,,,Oceania
Vatican City,,,,,,,,,,,Europe
Venezuela,2020,4.573829651,,0.80522424,66.90000153,0.611814618,,0.811319113,0.722391427,0.396250457,South America
Vietnam,2019,5.467451096,8.992330551,0.847592115,68.09999847,0.95246917,-0.125530764,0.787889242,0.751159906,0.18561019,Asia
Yemen,2019,4.196912766,,0.870042801,57.5,0.651308239,,0.798228264,0.54280591,0.213043228,Asia
Zambia,2020,4.837992191,8.116580009,0.766871631,56.29999924,0.750422418,0.056029193,0.809749782,0.691082239,0.344525933,Africa
Zimbabwe,2020,3.159802198,7.828756809,0.717242658,56.79999924,0.643302977,-0.008695764,0.78852278,0.702572763,0.345736384,Africa